virus,HA,IFNB1,ribavirin,replicate
NS1-stop,9.185850473,0.018958916,No,1
NS1-stop,7.732717019,0.022758949,No,2
NS1-stop,12.91834213,0.0190506,No,3
NS1-stop,8.991904949,0.017103687,No,4
uninfected,0.000111329,0.000749438,No,1
uninfected,0.000108139,0.000498216,No,2
uninfected,0,0.000110307,No,3
uninfected,0.000156105,0.000680233,No,4
NS1-stop,0.287520065,0.00331787,Yes,1
NS1-stop,0.222944847,0.000306209,Yes,2
NS1-stop,0.202083267,0.0015706,Yes,3
NS1-stop,0.205204685,0.000412027,Yes,4
uninfected,0,0.000336414,Yes,1
uninfected,0.000152271,0.001159621,Yes,2
uninfected,0.000674858,0.000222517,Yes,3
uninfected,0.000641273,0.000483585,Yes,4